,cos,sin
141,0.55657554,0.830797
142,0.86114675,0.50835645
143,0.9905454,0.13718541
144,0.58482397,0.81116027
145,0.97113943,0.23851258
146,0.6523456,0.75792164
147,0.988039,0.15420404
148,0.92923725,0.36948368
149,0.6258885,0.77991253
150,0.87812364,0.47843382
151,0.63921165,0.76903087
152,0.95754296,0.28829065
153,0.72696364,0.68667597
154,0.6523456,0.75792164
155,0.66528654,0.7465881
156,0.86976385,0.49346814
157,0.9852403,0.17117706
158,0.55657554,0.830797
159,0.7614175,0.6482618
160,0.96689296,0.25518242
161,0.9159778,0.401229
162,0.9905454,0.13718541
163,0.86114675,0.50835645
164,0.92923725,0.36948368
165,0.988039,0.15420404
166,0.97113943,0.23851258
167,0.92274404,0.38541335
168,0.93545544,0.35344467
169,0.58482397,0.81116027
170,0.94139683,0.33730108
171,0.9852403,0.17117706
172,0.97113943,0.23851258
173,0.5422022,0.84024805
174,0.7614175,0.6482618
175,0.6523456,0.75792164
176,0.58482397,0.81116027
177,0.86114675,0.50835645
178,0.86976385,0.49346814
179,0.96689296,0.25518242
180,0.92274404,0.38541335
181,0.92923725,0.36948368
182,0.63921165,0.76903087
183,0.93545544,0.35344467
184,0.9750985,0.22177216
185,0.9159778,0.401229
186,0.87812364,0.47843382
187,0.9905454,0.13718541
188,0.988039,0.15420404
189,0.66528654,0.7465881
190,0.55657554,0.830797
191,0.6258885,0.77991253
192,0.9852403,0.17117706
193,0.9905454,0.13718541
194,0.55657554,0.830797
195,0.63921165,0.76903087
196,0.9159778,0.401229
197,0.87812364,0.47843382
198,0.6258885,0.77991253
199,0.97113943,0.23851258
200,0.94139683,0.33730108
201,0.988039,0.15420404
202,0.86114675,0.50835645
203,0.93545544,0.35344467
204,0.9750985,0.22177216
205,0.66528654,0.7465881
206,0.86976385,0.49346814
207,0.7614175,0.6482618
208,0.92923725,0.36948368
209,0.6523456,0.75792164
210,0.96689296,0.25518242
211,0.92274404,0.38541335
212,0.92274404,0.38541335
213,0.92923725,0.36948368
214,0.94139683,0.33730108
215,0.7614175,0.6482618
216,0.82415664,0.5663619
217,0.95754296,0.28829065
218,0.96689296,0.25518242
219,0.58482397,0.81116027
220,0.86114675,0.50835645
221,0.9750985,0.22177216
222,0.86976385,0.49346814
223,0.5422022,0.84024805
224,0.988039,0.15420404
225,0.9159778,0.401229
226,0.63921165,0.76903087
227,0.9852403,0.17117706
228,0.93545544,0.35344467
229,0.6523456,0.75792164
230,0.55657554,0.830797
231,0.87812364,0.47843382
232,0.6258885,0.77991253
233,0.97113943,0.23851258
234,0.6258885,0.77991253
235,0.94139683,0.33730108
236,0.96689296,0.25518242
237,0.97113943,0.23851258
238,0.86114675,0.50835645
239,0.66528654,0.7465881
240,0.6523456,0.75792164
241,0.9159778,0.401229
242,0.7614175,0.6482618
243,0.58482397,0.81116027
244,0.87812364,0.47843382
245,0.55657554,0.830797
246,0.93545544,0.35344467
247,0.9905454,0.13718541
248,0.92923725,0.36948368
249,0.92274404,0.38541335
250,0.9852403,0.17117706
251,0.86114675,0.50835645
252,0.86976385,0.49346814
253,0.94139683,0.33730108
254,0.58482397,0.81116027
255,0.6523456,0.75792164
256,0.97113943,0.23851258
257,0.9750985,0.22177216
258,0.988039,0.15420404
259,0.9905454,0.13718541
260,0.93545544,0.35344467
261,0.96689296,0.25518242
262,0.87812364,0.47843382
263,0.55657554,0.830797
264,0.9159778,0.401229
265,0.92274404,0.38541335
266,0.92923725,0.36948368
267,0.5422022,0.84024805
268,0.63921165,0.76903087
269,0.66528654,0.7465881
270,0.6258885,0.77991253
271,0.6258885,0.77991253
272,0.63921165,0.76903087
273,0.58482397,0.81116027
274,0.7614175,0.6482618
275,0.9750985,0.22177216
276,0.97113943,0.23851258
277,0.6523456,0.75792164
278,0.66528654,0.7465881
279,0.55657554,0.830797
280,0.7614175,0.6482618
281,0.86976385,0.49346814
282,0.58482397,0.81116027
283,0.92274404,0.38541335
284,0.93545544,0.35344467
285,0.6258885,0.77991253
286,0.96689296,0.25518242
287,0.9159778,0.401229
288,0.87812364,0.47843382
289,0.63921165,0.76903087
290,0.5422022,0.84024805
291,0.9852403,0.17117706
292,0.86114675,0.50835645
293,0.92923725,0.36948368
294,0.7614175,0.6482618
295,0.9852403,0.17117706
296,0.5422022,0.84024805
297,0.92923725,0.36948368
298,0.87812364,0.47843382
299,0.94139683,0.33730108
300,0.92923725,0.36948368
301,0.988039,0.15420404
302,0.9159778,0.401229
