,loss,dkl,mse,traj_mse
57,8.683860442567727,4.066751185519833,4.617109218365317,3.152819504417979
58,8.698780912318952,4.083368956019838,4.615411942908991,3.1408812624058
59,8.73900477785774,4.089016775259176,4.649988011525314,3.18112323399453
60,8.67831657159719,4.0779392075799,4.600377375919622,3.1371883445894477
61,8.67871822619029,4.086398320339399,4.59231992519218,3.1228261321271638
62,8.644301851900432,4.083124664384005,4.561177183053051,3.08832157197497
63,8.642169886929755,4.08969699945911,4.552472890446227,3.0974633518879573
64,8.661136524539655,4.082124325488919,4.579012178965552,3.106891420441745
65,8.621111368426295,4.093429467979348,4.527681911605383,3.075003165722637
66,8.623203244856478,4.083868352559725,4.539334852126385,3.066839535411174
67,8.626126943252016,4.085389530788904,4.540737410231425,3.0862250249954912
68,8.66796587707472,4.085646014875629,4.582319837650531,3.1159495481648793
69,8.607043713377717,4.083485729050897,4.523557977631758,3.0676157150923182
70,8.655116712061366,4.081054506361392,4.574062201608548,3.095137285553907
71,8.578733460579572,4.0703970950776815,4.5083363826114935,3.057546735367797
72,8.596429814414561,4.09111286213915,4.505316935909706,3.044289540575001
73,8.602089944384213,4.089038058859695,4.513051889987892,3.057485857173545
74,8.590442575642173,4.0843891930096605,4.506053391187314,3.046214501310994
75,8.603607917166723,4.09551565769868,4.50809226355947,3.049797302103266
76,8.567346831751689,4.1036510988256305,4.4636957254871,3.0001275156291896
77,8.581368868882867,4.089094943077813,4.492273932500116,3.036351367575516
78,8.523340179098192,4.094480618671768,4.42885960282848,2.9724566352534776
79,8.567085611280897,4.093933692402475,4.473151915902839,3.0183295437400686
80,8.532010861008477,4.0879602915783195,4.4440505798446965,2.9918613132560123
81,8.543563826407732,4.111856797556052,4.431707024388306,2.9681345077461088
82,8.511916356971966,4.091451625556172,4.420464717281776,2.9712252970232793
83,8.522262380573196,4.098227094748463,4.4240352731785055,2.9575616037603845
84,8.548102728476204,4.1022318179447455,4.445870879287838,2.9809775255771584
85,8.540962637307677,4.107425505211126,4.433537138047717,2.975826015710459
86,8.504537217888556,4.090467607361292,4.414069605691942,2.9457795363320574
87,8.493483687711766,4.094914271195481,4.398569406101744,2.9359665936129327
88,8.488854668627663,4.102495637587192,4.386359016906453,2.9177395460572146
89,8.50035529426777,4.105176659344511,4.395178609630805,2.9295435956041453
90,8.474185394608472,4.098126177110836,4.376059221217115,2.92688678542091
91,8.516142035795262,4.099078212624965,4.417063809036279,2.954457501725362
92,8.461961542388392,4.112706384495157,4.3492551988075006,2.8733878503909533
93,8.444012918635947,4.089718725677585,4.3542941542757845,2.886682651344216
94,8.418494102549442,4.091203697014152,4.327290397352436,2.861634622312001
95,8.484632851367063,4.101075091339682,4.383557764490756,2.902160816371162
96,8.414688723321637,4.096626980256365,4.318061728931254,2.864199644689813
97,8.429503586660495,4.097261410235615,4.332242175680984,2.866889349941902
98,8.462076495106619,4.129907806652384,4.332168701100461,2.855660757296915
99,8.456673305231769,4.1043380820621005,4.352335223913565,2.8932719937352793
100,8.391799051936443,4.077961223173811,4.313837828018736,2.8578568148352614
101,8.428019978884787,4.099696597517374,4.3283233679772914,2.871819888187831
102,8.444801656392732,4.126495806921663,4.318305856910027,2.8481477136359015
103,8.408406354335838,4.10009840758468,4.308307946007263,2.8306997618325602
104,8.387298402473819,4.090410393225421,4.296887998089962,2.841388464345947
105,8.414538606652604,4.116954311751725,4.297584295644775,2.8300974774472243
106,8.425464686663029,4.117798081426279,4.307666611931811,2.8425610984171423
107,8.413323002188886,4.100895575167795,4.312427432972258,2.850316114247124
108,8.399402930844406,4.103550716049027,4.2958521932224025,2.8361184663965995
109,8.407321770737957,4.100914239511475,4.306407528250898,2.8383403181471802
110,8.379217171631812,4.0921529987115015,4.287064148371751,2.8155553712859724
111,8.396093511358252,4.100621088060685,4.295472385730832,2.8348319244087206
112,8.400650560018983,4.108269018241656,4.292381546240701,2.832071714951728
113,8.395460743242047,4.094264226845014,4.301196520116512,2.83759870320884
114,8.392919885572889,4.11345036576579,4.279469530965534,2.811897519598141
115,8.388001232176972,4.099868360808041,4.288132866905557,2.82382432495748
116,8.380148050007694,4.103545876263456,4.2766021752320285,2.8164859201160497
117,8.363325599575191,4.102772989436728,4.260552610882359,2.796635844964133
118,8.378826104162636,4.11129101873746,4.26753506905947,2.794534444437012
119,8.377910718159074,4.109862308234395,4.268048379424954,2.7974366219292937
120,8.352183275029365,4.093347861130784,4.258835422081434,2.7956781513791373
121,8.372948817641426,4.0984993750889105,4.274449410936947,2.821945543780156
122,8.34786978377939,4.101740184328671,4.2461296065177265,2.7929269445481797
123,8.368430090024951,4.120796098723984,4.247633964520721,2.7880160589113996
124,8.36297325336617,4.116149672479971,4.246823545923099,2.7828624408442217
125,8.367977456257979,4.118648732880162,4.2493287233778165,2.7800393253332367
126,8.338928081316062,4.0976797980191,4.241248283296963,2.7916203568022633
127,8.357212945935135,4.099132490604418,4.258080451983186,2.8153890339707064
128,8.336315986704715,4.097761816985893,4.238554165255447,2.7768032346240443
129,8.368524107285856,4.119150763554804,4.249373343731052,2.8041245721617654
130,8.358933328280397,4.1034551031317985,4.25547822998392,2.7985175198958183
131,8.348818974636274,4.095089411400782,4.253729569186659,2.8042249899014666
132,8.344213226842061,4.105463714197906,4.238749475821318,2.789905698734587
133,8.35902469355305,4.106169668635043,4.252855044259296,2.7899698355640523
134,8.33270807310869,4.098057072917682,4.234650997959322,2.7942574035358874
135,8.345105489590983,4.110266349244974,4.234839172333525,2.7912254761236133
136,8.387884131831795,4.106569986447529,4.281314158774389,2.8245338128992996
137,8.328650096649312,4.103014979459195,4.225635116446223,2.7945348483723893
138,8.318590451328319,4.085206216285456,4.233384249920778,2.7820706791513237
139,8.323036332212261,4.092618057768728,4.230418275931324,2.7891387102570437
140,8.397899008764306,4.11766612548352,4.280232865427288,2.8311021182912746
141,8.360208256940203,4.104730734773062,4.255477522911036,2.8027161688960844
142,8.31453587149681,4.0915890922784435,4.2229467810781065,2.7827281698979753
143,8.316888864252386,4.0987811378681345,4.218107728615938,2.770315133465248
144,8.349322518394816,4.095681179332287,4.253641311538387,2.800259763476629
145,8.334553194864306,4.100073151581001,4.234480046258888,2.7720290859478314
146,8.352754353361085,4.097424978027106,4.255329371614501,2.8069899859554868
147,8.349137777843268,4.105649680317657,4.24348810794015,2.7908767002421127
148,8.342325749151792,4.1097524578969304,4.232573300925506,2.7828963758792966
149,8.358457479015714,4.108863153621298,4.249594317955458,2.8002029045509658
150,8.305476974213551,4.091855090791461,4.2136218678002795,2.762669734389473
151,8.340100629095355,4.106269503904393,4.233831116264212,2.7806374059638443
152,8.328361655546239,4.1167229415845945,4.211638709126322,2.7624499615566593
153,8.35414270528951,4.106742092674124,4.247400626005509,2.8003555872882955
154,8.286555012005168,4.099131211475723,4.187423820242681,2.7386694806228378
155,8.30689377940947,4.093147311307339,4.213746490419004,2.7605504796211138
156,8.332850241995825,4.088092950874484,4.244757281822645,2.789525547563193
157,8.31639953857279,4.0928066286393525,4.223592930018623,2.7734026949788775
158,8.306678298854976,4.1017529938410675,4.204925304270014,2.7606502289705084
